"INDIC","Indicator","LOCATION","Country","CPL_COUNTRY","Country currency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPL","Comparative price levels","FRA","France","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,151,,
"CPL","Comparative price levels","DEU","Germany","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,146,,
"CPL","Comparative price levels","GRC","Greece","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,116,,
"CPL","Comparative price levels","HUN","Hungary","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,86,,
"CPL","Comparative price levels","ISL","Iceland","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,227,,
"CPL","Comparative price levels","IRL","Ireland","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,170,,
"CPL","Comparative price levels","ITA","Italy","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,141,,
"CPL","Comparative price levels","JPN","Japan","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,138,,
"CPL","Comparative price levels","KOR","Korea","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,136,,
"CPL","Comparative price levels","LUX","Luxembourg","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,175,,
"CPL","Comparative price levels","MEX","Mexico","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,83,,
"CPL","Comparative price levels","NLD","Netherlands","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,156,,
"CPL","Comparative price levels","NZL","New Zealand","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,172,,
"CPL","Comparative price levels","NOR","Norway","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,191,,
"CPL","Comparative price levels","POL","Poland","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,80,,
"CPL","Comparative price levels","PRT","Portugal","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,117,,
"CPL","Comparative price levels","SVK","Slovak Republic","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,97,,
"CPL","Comparative price levels","ESP","Spain","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,129,,
"CPL","Comparative price levels","SWE","Sweden","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,171,,
"CPL","Comparative price levels","CHE","Switzerland","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,208,,
"CPL","Comparative price levels","TUR","Turkey","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,70,,
"CPL","Comparative price levels","GBR","United Kingdom","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,162,,
"CPL","Comparative price levels","USA","United States","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,145,,
"CPL","Comparative price levels","CHL","Chile","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,110,,
"CPL","Comparative price levels","EST","Estonia","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,109,,
"CPL","Comparative price levels","ISR","Israel","CZE","Czech Republic CZK","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,182,,
